param	expType	paramValue	species	type	conc	growthRate	excessProd	numTypes
m	FALSE	9.668818999999998e-5	1	S-species	9.668818999999997e-5	2.589791	2.5886248297112484	1
m	FALSE	9.668818999999998e-5	2	S-species	0	1.685576	2.5886248297112484	1
m	FALSE	9.668818999999998e-5	3	S-species	0	2.262087	2.5886248297112484	1
m	FALSE	9.668818999999998e-5	4	S-species	0	1.239161	2.5886248297112484	1
m	FALSE	9.668818999999998e-5	5	S-species	0	2	2.5886248297112484	1
m	FALSE	9.668818999999998e-5	6	S-species	0	1.613319	2.5886248297112484	1
m	FALSE	9.668818999999998e-5	7	S-species	0	1.436066	2.5886248297112484	1
m	FALSE	9.668818999999998e-5	8	S-species	0	2.535142	2.5886248297112484	1
m	FALSE	9.668818999999998e-5	9	S-species	0	2.132169	2.5886248297112484	1
m	FALSE	9.668818999999998e-5	10	S-species	0	2.028718	2.5886248297112484	1
m	TRUE	9.668818999999998e-5	1	S-species	9.668818999999997e-5	2.589791	2.5886248297112484	1
m	TRUE	9.668818999999998e-5	2	S-species	0	1.685576	2.5886248297112484	1
m	TRUE	9.668818999999998e-5	3	S-species	0	2.262087	2.5886248297112484	1
m	TRUE	9.668818999999998e-5	4	S-species	0	1.239161	2.5886248297112484	1
m	TRUE	9.668818999999998e-5	5	E-species	0	2	2.5886248297112484	1
m	TRUE	9.668818999999998e-5	6	S-species	0	1.613319	2.5886248297112484	1
m	TRUE	9.668818999999998e-5	7	S-species	0	1.436066	2.5886248297112484	1
m	TRUE	9.668818999999998e-5	8	S-species	-2e-323	2.535142	2.5886248297112484	1
m	TRUE	9.668818999999998e-5	9	S-species	0	2.132169	2.5886248297112484	1
m	TRUE	9.668818999999998e-5	10	S-species	0	2.028718	2.5886248297112484	1
m	FALSE	1.0177704210323244e-4	1	S-species	1.0177704210323244e-4	2.589791	2.588563527635591	1
m	FALSE	1.0177704210323244e-4	2	S-species	0	1.685576	2.588563527635591	1
m	FALSE	1.0177704210323244e-4	3	S-species	0	2.262087	2.588563527635591	1
m	FALSE	1.0177704210323244e-4	4	S-species	0	1.239161	2.588563527635591	1
m	FALSE	1.0177704210323244e-4	5	S-species	0	2	2.588563527635591	1
m	FALSE	1.0177704210323244e-4	6	S-species	0	1.613319	2.588563527635591	1
m	FALSE	1.0177704210323244e-4	7	S-species	0	1.436066	2.588563527635591	1
m	FALSE	1.0177704210323244e-4	8	S-species	-2e-323	2.535142	2.588563527635591	1
m	FALSE	1.0177704210323244e-4	9	S-species	0	2.132169	2.588563527635591	1
m	FALSE	1.0177704210323244e-4	10	S-species	0	2.028718	2.588563527635591	1
m	TRUE	1.0177704210323244e-4	1	S-species	1.0177704210323242e-4	2.589791	2.5885635276355905	1
m	TRUE	1.0177704210323244e-4	2	S-species	0	1.685576	2.5885635276355905	1
m	TRUE	1.0177704210323244e-4	3	S-species	0	2.262087	2.5885635276355905	1
m	TRUE	1.0177704210323244e-4	4	S-species	0	1.239161	2.5885635276355905	1
m	TRUE	1.0177704210323244e-4	5	E-species	0	2	2.5885635276355905	1
