param	expType	paramValue	species	type	conc	numTypes	growthRate
m	FALSE	9.668818999999998e-5	1	S-species	9.668818999999998e-5	1	2.589791
m	FALSE	9.668818999999998e-5	2	S-species	0	1	1.685576
m	FALSE	9.668818999999998e-5	3	S-species	0	1	2.262087
m	FALSE	9.668818999999998e-5	4	S-species	0	1	1.239161
m	FALSE	9.668818999999998e-5	5	S-species	0	1	2
m	FALSE	9.668818999999998e-5	6	S-species	0	1	1.613319
m	FALSE	9.668818999999998e-5	7	S-species	0	1	1.436066
m	FALSE	9.668818999999998e-5	8	S-species	-1.5e-323	1	2.535142
m	FALSE	9.668818999999998e-5	9	S-species	0	1	2.132169
m	FALSE	9.668818999999998e-5	10	S-species	-2e-323	1	2.028718
m	TRUE	9.668818999999998e-5	1	S-species	9.668818999999997e-5	1	2.589791
m	TRUE	9.668818999999998e-5	2	S-species	0	1	1.685576
m	TRUE	9.668818999999998e-5	3	S-species	0	1	2.262087
m	TRUE	9.668818999999998e-5	4	S-species	0	1	1.239161
m	TRUE	9.668818999999998e-5	5	E-species	0	1	2
m	TRUE	9.668818999999998e-5	6	S-species	0	1	1.613319
m	TRUE	9.668818999999998e-5	7	S-species	0	1	1.436066
m	TRUE	9.668818999999998e-5	8	S-species	-3.5e-323	1	2.535142
m	TRUE	9.668818999999998e-5	9	S-species	0	1	2.132169
m	TRUE	9.668818999999998e-5	10	S-species	2e-323	1	2.028718
m	FALSE	1.0177704210323244e-4	1	S-species	1.0177704210323244e-4	1	2.589791
m	FALSE	1.0177704210323244e-4	2	S-species	0	1	1.685576
m	FALSE	1.0177704210323244e-4	3	S-species	0	1	2.262087
m	FALSE	1.0177704210323244e-4	4	S-species	0	1	1.239161
m	FALSE	1.0177704210323244e-4	5	S-species	0	1	2
m	FALSE	1.0177704210323244e-4	6	S-species	0	1	1.613319
m	FALSE	1.0177704210323244e-4	7	S-species	0	1	1.436066
m	FALSE	1.0177704210323244e-4	8	S-species	-2.5e-323	1	2.535142
m	FALSE	1.0177704210323244e-4	9	S-species	0	1	2.132169
m	FALSE	1.0177704210323244e-4	10	S-species	0	1	2.028718
