param	expType	paramValue	species	type	conc	growthRate	excessProd	numTypes
m	FALSE	9.668819e-5	1	S-species	0.9999981	2.589791	2.588625	1
m	FALSE	9.668819e-5	2	S-species	8.812511e-31	1.685576	2.588625	1
m	FALSE	9.668819e-5	3	S-species	5.783396e-16	2.262087	2.588625	1
m	FALSE	9.668819e-5	4	S-species	9.823969e-50	1.239161	2.588625	1
m	FALSE	9.668819e-5	5	S-species	7.061492e-23	2	2.588625	1
m	FALSE	9.668819e-5	6	S-species	9.464522999999999e-33	1.613319	2.588625	1
m	FALSE	9.668819e-5	7	S-species	3.0018269999999996e-38	1.436066	2.588625	1
m	FALSE	9.668819e-5	8	S-species	1.90464e-6	2.535142	2.588625	1
m	FALSE	9.668819e-5	9	S-species	1.664925e-19	2.132169	2.588625	1
m	FALSE	9.668819e-5	10	S-species	3.912178e-22	2.028718	2.588625	1
m	FALSE	1.01777e-4	1	S-species	0.9999984	2.589791	2.588563	1
m	FALSE	1.01777e-4	2	S-species	4.049116e-31	1.685576	2.588563	1
m	FALSE	1.01777e-4	3	S-species	4.198854e-16	2.262087	2.588563	1
m	FALSE	1.01777e-4	4	S-species	6.961530999999999e-50	1.239161	2.588563	1
m	FALSE	1.01777e-4	5	S-species	4.3587140000000007e-23	2	2.588563	1
m	FALSE	1.01777e-4	6	S-species	3.909607e-33	1.613319	2.588563	1
m	FALSE	1.01777e-4	7	S-species	8.761000999999999e-39	1.436066	2.588563	1
m	FALSE	1.01777e-4	8	S-species	1.55822e-6	2.535142	2.588563	1
m	FALSE	1.01777e-4	9	S-species	1.120172e-19	2.132169	2.588563	1
m	FALSE	1.01777e-4	10	S-species	2.464306e-22	2.028718	2.588563	1
m	FALSE	1.071337e-4	1	S-species	0.9999987	2.589791	2.588499	1
m	FALSE	1.071337e-4	2	S-species	2.5529049999999997e-31	1.685576	2.588499	1
m	FALSE	1.071337e-4	3	S-species	3.179284e-16	2.262087	2.588499	1
m	FALSE	1.071337e-4	4	S-species	1.4485599999999998e-50	1.239161	2.588499	1
m	FALSE	1.071337e-4	5	S-species	3.0318350000000004e-23	2	2.588499	1
m	FALSE	1.071337e-4	6	S-species	2.4226879999999996e-33	1.613319	2.588499	1
m	FALSE	1.071337e-4	7	S-species	4.973425e-39	1.436066	2.588499	1
m	FALSE	1.071337e-4	8	S-species	1.30301e-6	2.535142	2.588499	1
m	FALSE	1.071337e-4	9	S-species	8.136848999999999e-20	2.132169	2.588499	1
m	FALSE	1.071337e-4	10	S-species	1.7295490000000001e-22	2.028718	2.588499	1
m	FALSE	1.127723e-4	1	S-species	0.9999986	2.589791	2.588431	1
m	FALSE	1.127723e-4	2	S-species	3.87558e-32	1.685576	2.588431	1
m	FALSE	1.127723e-4	3	S-species	1.518225e-16	2.262087	2.588431	1
m	FALSE	1.127723e-4	4	S-species	1.0335649999999997e-51	1.239161	2.588431	1
m	FALSE	1.127723e-4	5	S-species	8.250531e-24	2	2.588431	1
m	FALSE	1.127723e-4	6	S-species	3.1846959999999998e-34	1.613319	2.588431	1
m	FALSE	1.127723e-4	7	S-species	4.6857190000000004e-40	1.436066	2.588431	1
m	FALSE	1.127723e-4	8	S-species	1.424896e-6	2.535142	2.588431	1
m	FALSE	1.127723e-4	9	S-species	2.900516e-20	2.132169	2.588431	1
m	FALSE	1.127723e-4	10	S-species	4.983132e-23	2.028718	2.588431	1
m	FALSE	1.187077e-4	1	S-species	0.9999988	2.589791	2.58836	1
m	FALSE	1.187077e-4	2	S-species	3.6037390000000003e-32	1.685576	2.58836	1
m	FALSE	1.187077e-4	3	S-species	1.364342e-16	2.262087	2.58836	1
m	FALSE	1.187077e-4	4	S-species	7.914433999999999e-52	1.239161	2.58836	1
m	FALSE	1.187077e-4	5	S-species	7.558045e-24	2	2.58836	1
m	FALSE	1.187077e-4	6	S-species	3.039038e-34	1.613319	2.58836	1
m	FALSE	1.187077e-4	7	S-species	4.560392e-40	1.436066	2.58836	1
m	FALSE	1.187077e-4	8	S-species	1.240491e-6	2.535142	2.58836	1
m	FALSE	1.187077e-4	9	S-species	2.6321909999999998e-20	2.132169	2.58836	1
