time	resource	numTypes	assocRate
0	25	1	10
1	25.03927	1	10.0045
2	25.07854	1	10.009
3	25.11781	1	10.0135
4	25.15707	1	10.018
5	25.19634	1	10.0225
6	25.23561	1	10.027
7	25.27488	1	10.0315
8	25.31414	1	10.036
9	25.35341	1	10.0405
10	25.39267	1	10.045
11	25.43194	1	10.0495
12	25.4712	1	10.054
13	25.51046	1	10.0585
14	25.54972	1	10.063
15	25.58898	1	10.0675
16	25.62824	1	10.072
17	25.66749	1	10.0765
18	25.70675	1	10.081
19	25.746	1	10.0855
20	25.78525	1	10.09
21	25.8245	1	10.0945
22	25.86374	1	10.099
23	25.90299	1	10.1035
24	25.94223	1	10.108
25	25.98147	1	10.1125
26	26.02071	1	10.117
27	26.05994	1	10.1215
28	26.09918	1	10.126
29	26.13841	1	10.1305
30	26.17763	1	10.135
31	26.21686	1	10.1395
32	26.25608	1	10.144
33	26.29529	1	10.1485
34	26.33451	1	10.153
35	26.37372	1	10.1575
36	26.41293	1	10.162
37	26.45213	1	10.1665
38	26.49133	1	10.171
39	26.53053	1	10.1755
40	26.56972	1	10.18
41	26.60891	1	10.1845
42	26.6481	1	10.189
43	26.68728	1	10.1935
44	26.72646	1	10.198
45	26.76563	1	10.20249
46	26.8048	1	10.20699
47	26.84396	1	10.21149
48	26.88312	1	10.21599
49	26.92228	1	10.22049
50	26.96143	1	10.22499
51	27.00057	1	10.22949
52	27.03971	1	10.23399
53	27.07885	1	10.23849
54	27.11798	1	10.24299
55	27.15711	1	10.24749
56	27.19623	1	10.25199
57	27.23534	1	10.25649
58	27.27445	1	10.26099
59	27.31355	1	10.26549
60	27.35265	1	10.26999
61	27.39174	1	10.27449
62	27.43083	1	10.27899
63	27.46991	1	10.28349
64	27.50898	1	10.28799
65	27.54805	1	10.29249
66	27.58711	1	10.29699
67	27.62616	1	10.30149
68	27.66521	1	10.30599
69	27.70425	1	10.31049
70	27.74329	1	10.31499
71	27.78232	1	10.31949
72	27.82134	1	10.32399
73	27.86035	1	10.32849
74	27.89936	1	10.33299
75	27.93836	1	10.33749
76	27.97735	1	10.34199
77	28.01634	1	10.34649
78	28.05532	1	10.35099
79	28.09429	2	10.35549
80	28.13325	1	10.35999
81	28.17221	1	10.36449
82	28.21116	1	10.36899
83	28.2501	1	10.37349
84	28.28903	1	10.37799
85	28.32795	1	10.38249
86	28.36687	1	10.38699
87	28.40577	1	10.39149
88	28.44467	1	10.39599
89	28.48356	1	10.40049
90	28.52244	1	10.40499
91	28.56132	1	10.40949
92	28.60018	1	10.41399
93	28.63904	1	10.41849
94	28.67788	1	10.42299
95	28.71672	1	10.42749
96	28.75555	1	10.43199
97	28.79437	1	10.43649
98	28.83317	1	10.44099
99	28.87197	1	10.44549
100	28.91076	1	10.44999
101	28.94955	1	10.45449
102	28.98832	1	10.45899
103	29.02708	1	10.46349
104	29.06583	1	10.46799
105	29.10457	1	10.47249
106	29.1433	1	10.47699
107	29.18202	1	10.48149
108	29.22073	1	10.48599
109	29.25943	1	10.49049
110	29.29812	2	10.49499
111	29.3368	2	10.49949
112	29.37547	2	10.50399
113	29.41413	2	10.50849
114	29.45277	2	10.51299
115	29.49141	2	10.51749
116	29.53003	2	10.52199
117	29.56865	2	10.52649
118	29.60725	2	10.53099
119	29.64584	2	10.53549
120	29.68442	2	10.53999
121	29.72298	2	10.54449
122	29.76154	2	10.54899
123	29.80008	2	10.55349
124	29.83862	2	10.55799
125	29.87714	2	10.56249
126	29.91565	2	10.56699
127	29.95414	2	10.57149
128	29.99263	2	10.57599
129	30.0311	2	10.58049
130	30.06956	2	10.58499
131	30.108	2	10.58949
132	30.14644	2	10.59399
133	30.18486	2	10.59849
134	30.22327	2	10.60298
135	30.26166	2	10.60748
136	30.30005	2	10.61198
137	30.33842	2	10.61648
138	30.37677	2	10.62098
139	30.41512	2	10.62548
140	30.45345	2	10.62998
141	30.49176	2	10.63448
142	30.53007	2	10.63898
143	30.56836	2	10.64348
144	30.60663	2	10.64798
145	30.64489	2	10.65248
146	30.68314	2	10.65698
147	30.72137	2	10.66148
148	30.75959	2	10.66598
149	30.7978	2	10.67048
150	30.83599	2	10.67498
151	30.87417	2	10.67948
152	30.91233	2	10.68398
153	30.95048	2	10.68848
154	30.98861	2	10.69298
155	31.02673	2	10.69748
156	31.06483	2	10.70198
157	31.10292	2	10.706480000000001
158	31.14099	2	10.71098
159	31.17905	2	10.71548
160	31.2171	2	10.71998
161	31.25512	2	10.72448
162	31.29313	2	10.72898
163	31.33113	2	10.73348
164	31.36911	2	10.73798
165	31.40708	2	10.74248
166	31.44503	2	10.74698
167	31.48296	2	10.75148
168	31.52088	2	10.75598
169	31.55878	2	10.76048
170	31.59667	2	10.76498
171	31.63453	2	10.76948
172	31.67239	2	10.77398
173	31.71022	2	10.77848
174	31.74804	2	10.78298
175	31.78585	2	10.78748
176	31.82363	2	10.79198
177	31.8614	2	10.79648
178	31.89915	2	10.80098
179	31.936889999999998	2	10.80548
180	31.97461	2	10.80998
181	32.01231	2	10.81448
182	32.04999	2	10.81898
183	32.08766	2	10.82348
184	32.12531	2	10.82798
185	32.16294	2	10.83248
186	32.20055	2	10.83698
187	32.23815	2	10.84148
188	32.27573	2	10.84598
189	32.31329	2	10.85048
190	32.35083	2	10.85498
191	32.38835	2	10.85948
192	32.42586	2	10.86398
193	32.46335	2	10.86848
194	32.50082	2	10.87298
195	32.53827	2	10.87748
196	32.5757	2	10.88198
197	32.61311	2	10.88648
198	32.65051	2	10.89098
199	32.68788	2	10.89548
200	32.72524	2	10.89998
